"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 17:19:47 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Yes","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","right","NA","NA","right","NA","NA","994.1758000059053","994.1758000059053","NA","NA","4233.392000009189","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","NA","NA","14143.970000004629","NA","NA","17249.662200003513","9859.897700007423","NA","NA","NA","NA","NA","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 17:19:47 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Bachelors","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","right","NA","NA","right","NA","NA","994.1758000059053","994.1758000059053","NA","NA","4233.392000009189","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","NA","NA","14143.970000004629","NA","NA","17249.662200003513","9859.897700007423","NA","NA","NA","NA","NA","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20067.656500003068","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 17:19:47 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","22","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","NA","Melodramatic Milgram","4.0.5","NA","22","right","NA","NA","right","NA","NA","994.1758000059053","994.1758000059053","NA","NA","4233.392000009189","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","NA","NA","17249.662200003513","9859.897700007423","NA","NA","NA","NA","NA","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","22084.472200003802","NA","NA","20067.656500003068","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 17:19:47 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","German","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","NA","Melodramatic Milgram","4.0.5","NA","German","right","NA","NA","right","NA","NA","994.1758000059053","994.1758000059053","NA","NA","4233.392000009189","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","NA","NA","NA","NA","NA","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","NA","NA","NA","NA","NA","NA","22084.472200003802","NA","NA","20067.656500003068","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 17:19:47 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","NA","Melodramatic Milgram","4.0.5","NA","Student","right","NA","NA","right","NA","NA","994.1758000059053","994.1758000059053","NA","NA","4233.392000009189","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","NA","NA","NA","NA","NA","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","NA","NA","NA","NA","26084.59870000661","NA","22084.472200003802","NA","NA","20067.656500003068","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","8181","8181","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Thu Oct 26 17:19:47 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","fake","Melodramatic Milgram","4.0.5","bottom_left","left","right","NA","right","right","NA","left","8181.782100000419","994.1758000059053","NA","1183.8924000039697","4233.392000009189","NA","8181.782100000419","NA","NA","2","fake_1_50","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","27349.69529999944","NA","NA","27854.374500006088","26099.81770000013","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","27854.50359999959","27284.204399999","27344.774800003506","NA","26084.59870000661","NA","22084.472200003802","36036.74370000954","NA","20067.656500003068","NA","NA","New experiment","1","8181.782100000419","1","1024"
"50","NA","50","9235","9235","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Thu Oct 26 17:19:47 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","fake","Melodramatic Milgram","4.0.5","silver_strip","right","right","NA","right","right","NA","right","10288.725000005797","994.1758000059053","NA","1183.8924000039697","4233.392000009189","NA","10288.725000005797","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","36255.00030000694","NA","NA","36759.667400008766","26099.81770000013","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","36759.79399999778","27284.204399999","36250.03940000897","NA","26084.59870000661","NA","22084.472200003802","47048.92729999847","NA","20067.656500003068","NA","NA","New experiment","1","18470.507100006216","2","1024"
"66","NA","66","7398","7398","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Thu Oct 26 17:19:47 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","left","right","NA","right","right","NA","left","3726.430900002015","994.1758000059053","NA","1183.8924000039697","4233.392000009189","NA","3726.430900002015","NA","NA","2","fake_20","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","47190.38620000356","NA","NA","47694.77070000721","26099.81770000013","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","47695.09910000488","27284.204399999","47185.27040000481","NA","26084.59870000661","NA","22084.472200003802","51422.14910000621","NA","20067.656500003068","NA","NA","New experiment","2","22196.93800000823","3","1024"
"75","NA","75","6078","6078","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Thu Oct 26 17:19:47 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","real","Melodramatic Milgram","4.0.5","photo","right","right","NA","right","right","NA","right","2116.7512999963947","994.1758000059053","NA","1183.8924000039697","4233.392000009189","NA","2116.7512999963947","NA","NA","2","real_20","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","51581.59169999999","NA","NA","52085.4454000073","26099.81770000013","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","52085.55030000571","27284.204399999","51576.04410000204","NA","26084.59870000661","NA","22084.472200003802","54202.69510000071","NA","20067.656500003068","NA","NA","New experiment","3","24313.689300004626","4","1024"
"80","NA","80","5422","5422","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Thu Oct 26 17:19:47 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-0.csv","real","Melodramatic Milgram","4.0.5","photo_2","right","right","NA","right","right","NA","right","2798.5733000095934","994.1758000059053","NA","1183.8924000039697","4233.392000009189","NA","2798.5733000095934","NA","NA","2","real_50","1024","2","48000","-16","experiment","0","even","20070.709300009185","NA","14143.970000004629","23936.2822999974","NA","17249.662200003513","9859.897700007423","54351.46390000591","NA","NA","54854.899099998875","26099.81770000013","9905.462299997453","NA","NA","NA","NA","NA","NA","NA","NA","NA","22087.63639999961","NA","54855.04829999991","27284.204399999","54346.432899998035","NA","26084.59870000661","NA","22084.472200003802","57654.034000006504","NA","20067.656500003068","NA","NA","New experiment","4","27112.26260001422","5","1024"
