acc,accept_status,accuracy,average_response_time,avg_rt,background,canvas_backend,checkbox_status,correct,correct_consent_sketchpad,correct_instruction_sketchpad,correct_new_keyboard_response,correct_response,count_age_form,count_checkbox_security_form,count_consent_sketchpad,count_country_logger,count_eurozone_form,count_eurozone_logger,count_experiment,count_fixation_dots,count_getting_started,count_goodbye_sketchpad,count_images_sketchpad,count_information_display_sketchpad,count_instruction_sketchpad,count_new_1_form_base,count_new_1_form_text_input,count_new_1_sketchpad,count_new_2_logger,count_new_4_form_multiple_choice,count_new_form_base,count_new_form_consent,count_new_form_multiple_choice,count_new_form_text_display,count_new_form_text_input,count_new_inline_script,count_new_keyboard_response,count_new_loop,count_new_sequence,count_occupation_form,count_occupation_logger,count_open_security_input_form,count_personal_data_logger,count_response_logger,count_schooling_level_form,count_schooling_logger,count_security_feature_logger,count_welcome,datetime,denomination,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,logfile,note_type,opensesame_codename,opensesame_version,reason,response,response_consent_sketchpad,response_goodbye_sketchpad,response_information_display_sketchpad,response_instruction_sketchpad,response_new_1_sketchpad,response_new_keyboard_response,response_time,response_time_consent_sketchpad,response_time_goodbye_sketchpad,response_time_information_display_sketchpad,response_time_instruction_sketchpad,response_time_new_1_sketchpad,response_time_new_keyboard_response,response_time_welcome,response_welcome,round_decimals,show,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_age_form,time_checkbox_security_form,time_consent_sketchpad,time_country_logger,time_eurozone_form,time_eurozone_logger,time_experiment,time_fixation_dots,time_getting_started,time_goodbye_sketchpad,time_images_sketchpad,time_information_display_sketchpad,time_instruction_sketchpad,time_new_1_form_base,time_new_1_form_text_input,time_new_1_sketchpad,time_new_2_logger,time_new_4_form_multiple_choice,time_new_form_base,time_new_form_consent,time_new_form_multiple_choice,time_new_form_text_display,time_new_form_text_input,time_new_inline_script,time_new_keyboard_response,time_new_loop,time_new_sequence,time_occupation_form,time_occupation_logger,time_open_security_input_form,time_personal_data_logger,time_response_logger,time_schooling_level_form,time_schooling_logger,time_security_feature_logger,time_welcome,title,total_correct,total_response_time,total_responses,width
undefined,NA,undefined,undefined,undefined,#3d3846,psycho,NA,undefined,undefined,undefined,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,Fri Oct 27 18:34:39 2023,NA,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,No,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,NA,Melodramatic Milgram,4.0.5,NA,No,return,NA,NA,return,NA,NA,3482.3355,3482.3355,NA,NA,19551.3157,NA,NA,NA,NA,2,NA,1024,2,48000,-16,experiment,1,odd,NA,NA,37826.4876,NA,NA,46724.1526,18223.9355,NA,NA,NA,NA,NA,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New experiment,0,0,0,1024
undefined,NA,undefined,undefined,undefined,#3d3846,psycho,NA,undefined,undefined,undefined,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,Fri Oct 27 18:34:39 2023,NA,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Masters,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,NA,Melodramatic Milgram,4.0.5,NA,Masters,return,NA,NA,return,NA,NA,3482.3355,3482.3355,NA,NA,19551.3157,NA,NA,NA,NA,2,NA,1024,2,48000,-16,experiment,1,odd,NA,NA,37826.4876,NA,NA,46724.1526,18223.9355,NA,NA,NA,NA,NA,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50088.4681,NA,NA,New experiment,0,0,0,1024
undefined,NA,undefined,undefined,undefined,#3d3846,psycho,NA,undefined,undefined,undefined,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,Fri Oct 27 18:34:39 2023,NA,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,23,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,NA,Melodramatic Milgram,4.0.5,NA,23,return,NA,NA,return,NA,NA,3482.3355,3482.3355,NA,NA,19551.3157,NA,NA,NA,NA,2,NA,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,NA,NA,46724.1526,18223.9355,NA,NA,NA,NA,NA,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54913.4506,NA,NA,50088.4681,NA,NA,New experiment,0,0,0,1024
undefined,NA,undefined,undefined,undefined,#3d3846,psycho,NA,undefined,undefined,undefined,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,Fri Oct 27 18:34:39 2023,NA,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Swedish,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,NA,Melodramatic Milgram,4.0.5,NA,Swedish,return,NA,NA,return,NA,NA,3482.3355,3482.3355,NA,NA,19551.3157,NA,NA,NA,NA,2,NA,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,NA,NA,NA,NA,NA,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,NA,NA,NA,NA,NA,NA,54913.4506,NA,NA,50088.4681,NA,NA,New experiment,0,0,0,1024
undefined,NA,undefined,undefined,undefined,#3d3846,psycho,NA,undefined,undefined,undefined,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,Fri Oct 27 18:34:39 2023,NA,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,NA,Melodramatic Milgram,4.0.5,NA,Professional and Technical Occupations,return,NA,NA,return,NA,NA,3482.3355,3482.3355,NA,NA,19551.3157,NA,NA,NA,NA,2,NA,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,NA,NA,NA,NA,NA,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,NA,NA,NA,NA,86414.6672,NA,54913.4506,NA,NA,50088.4681,NA,NA,New experiment,0,0,0,1024
100,NA,100,9278,9278,#3d3846,psycho,NA,1,undefined,undefined,1,right,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo,right,return,NA,return,return,NA,right,9278.1564,3482.3355,NA,4295.5865,19551.3157,NA,9278.1564,NA,NA,2,real_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,90895.0198,NA,NA,91398.6569,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,91398.7797,90726.7768,90888.6057,NA,86414.6672,NA,54913.4506,100677.3707,NA,50088.4681,NA,NA,New experiment,1,9278.1564,1,1024
50,NA,50,7234,7234,#3d3846,psycho,NA,0,undefined,undefined,0,right,0,0,0,0,0,0,0,1,NA,0,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,1,0,0,0,0,1,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo,left,return,NA,return,return,NA,left,5191.7875,3482.3355,NA,4295.5865,19551.3157,NA,5191.7875,NA,NA,2,real_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,101266.1141,NA,NA,101770.5332,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,101770.6529,90726.7768,101260.6274,NA,86414.6672,NA,54913.4506,106962.9146,NA,50088.4681,NA,NA,New experiment,1,14469.9439,2,1024
66,NA,66,5872,5872,#3d3846,psycho,NA,1,undefined,undefined,1,right,0,0,0,0,0,0,0,2,NA,0,2,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,2,0,2,0,0,0,0,2,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo,right,return,NA,return,return,NA,right,3146.8791,3482.3355,NA,4295.5865,19551.3157,NA,3146.8791,NA,NA,2,real_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,107099.1778,NA,NA,107603.5645,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,107603.7707,90726.7768,107093.821,NA,86414.6672,NA,54913.4506,110751.0486,NA,50088.4681,NA,NA,New experiment,2,17616.823,3,1024
75,NA,75,4904,4904,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,3,NA,0,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,3,0,3,0,0,0,0,3,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,PurpleDenomination,left,return,NA,return,return,NA,left,2003.0566,3482.3355,NA,4295.5865,19551.3157,NA,2003.0566,NA,NA,2,fake_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,110884.8466,NA,NA,111388.3059,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,111388.4151,90726.7768,110880.3703,NA,86414.6672,NA,54913.4506,113391.927,NA,50088.4681,NA,NA,New experiment,3,19619.8796,4,1024
60,NA,60,4180,4180,#3d3846,psycho,NA,0,undefined,undefined,0,right,0,0,0,0,0,0,0,4,NA,0,4,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,4,0,4,0,0,0,0,4,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,genuine,left,return,NA,return,return,NA,left,1284.2489,3482.3355,NA,4295.5865,19551.3157,NA,1284.2489,NA,NA,2,real_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,113509.4744,NA,NA,114013.261,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,114013.3862,90726.7768,113503.3343,NA,86414.6672,NA,54913.4506,115298.0804,NA,50088.4681,NA,NA,New experiment,3,20904.1285,5,1024
