"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 16:24:08 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","No","yes","768","/Users/joesidley/Desktop/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","No","space","NA","NA","space","NA","NA","3023.7627120004618","3023.7627120004618","NA","NA","15902.018347000194","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","NA","NA","23884.032541000124","NA","NA","37642.338625000775","7907.6753450008255","NA","NA","NA","NA","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 16:24:08 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Bachelors","yes","768","/Users/joesidley/Desktop/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","space","NA","NA","space","NA","NA","3023.7627120004618","3023.7627120004618","NA","NA","15902.018347000194","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","NA","NA","23884.032541000124","NA","NA","37642.338625000775","7907.6753450008255","NA","NA","NA","NA","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41331.25984599974","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 16:24:08 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","23","yes","768","/Users/joesidley/Desktop/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","23","space","NA","NA","space","NA","NA","3023.7627120004618","3023.7627120004618","NA","NA","15902.018347000194","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","NA","NA","37642.338625000775","7907.6753450008255","NA","NA","NA","NA","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","47448.02506000087","NA","NA","41331.25984599974","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 16:24:08 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","South African","yes","768","/Users/joesidley/Desktop/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","South African","space","NA","NA","space","NA","NA","3023.7627120004618","3023.7627120004618","NA","NA","15902.018347000194","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","NA","NA","NA","NA","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","NA","NA","NA","NA","NA","NA","47448.02506000087","NA","NA","41331.25984599974","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 16:24:08 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","Student","space","NA","NA","space","NA","NA","3023.7627120004618","3023.7627120004618","NA","NA","15902.018347000194","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","NA","NA","NA","NA","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","NA","NA","NA","NA","60059.26237800122","NA","47448.02506000087","NA","NA","41331.25984599974","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","13098","13098","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 15 16:24:08 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","fake","Melodramatic Milgram","4.0.5","PurpleDenomination","left","space","NA","NA","space","NA","left","13098.979264999798","3023.7627120004618","NA","NA","15902.018347000194","NA","13098.979264999798","NA","NA","2","fake_20","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","60182.901023999875","NA","NA","60687.66157900063","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","60688.00575400019","60060.99121800071","60169.48671800128","NA","60059.26237800122","NA","47448.02506000087","73788.36727199996","NA","41331.25984599974","NA","NA","New experiment","1","13098.979264999798","1","1024"
"100","NA","100","8743","8743","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","1","NA","0","1","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sun Oct 15 16:24:08 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","fake","Melodramatic Milgram","4.0.5","NoNumOnThread_BlurryWatermark","left","space","NA","NA","space","NA","left","4388.7490759989305","3023.7627120004618","NA","NA","15902.018347000194","NA","4388.7490759989305","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","73964.79129600084","NA","NA","74470.2072529999","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","74470.54652100087","60060.99121800071","73955.58468499985","NA","60059.26237800122","NA","47448.02506000087","78860.63993700009","NA","41331.25984599974","NA","NA","New experiment","2","17487.72834099873","2","1024"
"100","NA","100","6282","6282","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","2","NA","0","2","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sun Oct 15 16:24:08 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","real","Melodramatic Milgram","4.0.5","photo","right","space","NA","NA","space","NA","right","1359.3544689992996","3023.7627120004618","NA","NA","15902.018347000194","NA","1359.3544689992996","NA","NA","2","real_50","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","79023.19238200107","NA","NA","79527.5707740002","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","79527.89376200053","60060.99121800071","79016.60311200067","NA","60059.26237800122","NA","47448.02506000087","80888.75959500001","NA","41331.25984599974","NA","NA","New experiment","3","18847.082809998028","3","1024"
"75","NA","75","6363","6363","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","3","NA","0","3","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sun Oct 15 16:24:08 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","fake","Melodramatic Milgram","4.0.5","BadInk","right","space","NA","NA","space","NA","right","6605.937604999781","3023.7627120004618","NA","NA","15902.018347000194","NA","6605.937604999781","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","81060.00100200072","NA","NA","81565.14766600048","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","81565.55039900013","60060.99121800071","81053.42265699983","NA","60059.26237800122","NA","47448.02506000087","88172.85983200054","NA","41331.25984599974","NA","NA","New experiment","3","25453.02041499781","4","1024"
"60","NA","60","6608","6608","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","4","NA","0","4","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sun Oct 15 16:24:08 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/joesidley/Desktop","no","mono","no","18","no","white","no","Student","yes","768","/Users/joesidley/Desktop/subject-10.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","right","space","NA","NA","space","NA","right","7587.916710999707","3023.7627120004618","NA","NA","15902.018347000194","NA","7587.916710999707","NA","NA","2","fake_20","1024","2","48000","-16","experiment","10","even","41333.129488999475","NA","23884.032541000124","54590.05699699992","NA","37642.338625000775","7907.6753450008255","88337.89972500017","NA","NA","88845.62224100046","NA","7939.765056000397","NA","NA","NA","NA","NA","NA","NA","NA","NA","47449.93421900108","NA","88846.10414300005","60060.99121800071","88329.2820250008","NA","60059.26237800122","NA","47448.02506000087","96435.4103679998","NA","41331.25984599974","NA","NA","New experiment","3","33040.937125997516","5","1024"
