"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 15:48:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","No","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","NA","Melodramatic Milgram","4.0.5","NA","No","right","NA","NA","left","NA","NA","800.5359169910662","800.5359169910662","NA","NA","14556.750709016342","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","2","even","NA","NA","21641.813958005514","NA","NA","24832.08820800064","6672.130750026554","NA","NA","NA","NA","NA","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 15:48:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Bachelors","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","right","NA","NA","left","NA","NA","800.5359169910662","800.5359169910662","NA","NA","14556.750709016342","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","2","even","NA","NA","21641.813958005514","NA","NA","24832.08820800064","6672.130750026554","NA","NA","NA","NA","NA","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25762.44175003376","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 15:48:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","23","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","NA","Melodramatic Milgram","4.0.5","NA","23","right","NA","NA","left","NA","NA","800.5359169910662","800.5359169910662","NA","NA","14556.750709016342","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","NA","NA","24832.08820800064","6672.130750026554","NA","NA","NA","NA","NA","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.178417008836","NA","NA","25762.44175003376","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 15:48:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Hungarian","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","NA","Melodramatic Milgram","4.0.5","NA","Hungarian","right","NA","NA","left","NA","NA","800.5359169910662","800.5359169910662","NA","NA","14556.750709016342","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","NA","NA","NA","NA","NA","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","NA","NA","NA","NA","NA","NA","27892.178417008836","NA","NA","25762.44175003376","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 15:48:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","NA","Melodramatic Milgram","4.0.5","NA","Student","right","NA","NA","left","NA","NA","800.5359169910662","800.5359169910662","NA","NA","14556.750709016342","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","NA","NA","NA","NA","NA","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","NA","NA","NA","NA","32877.32541700825","NA","27892.178417008836","NA","NA","25762.44175003376","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","6675","6675","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 15 15:48:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","real","Melodramatic Milgram","4.0.5","genuine","right","right","NA","space","left","NA","right","6675.32391595887","800.5359169910662","NA","1105.2499579964206","14556.750709016342","NA","6675.32391595887","NA","NA","2","real_20","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","34050.329332996625","NA","NA","34554.4241250027","32886.6483750171","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","34554.5849170303","33993.929749995004","34042.259542038664","NA","32877.32541700825","NA","27892.178417008836","41232.940374989994","NA","25762.44175003376","NA","NA","New experiment","1","6675.32391595887","1","1024"
"100","NA","100","4494","4494","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sun Oct 15 15:48:50 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","real","Melodramatic Milgram","4.0.5","photo_2","right","right","NA","space","left","NA","right","2313.229917024728","800.5359169910662","NA","1105.2499579964206","14556.750709016342","NA","2313.229917024728","NA","NA","2","real_50","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","41493.67270799121","NA","NA","42000.13283302542","32886.6483750171","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","42000.299707986414","33993.929749995004","41454.59654199658","NA","32877.32541700825","NA","27892.178417008836","44329.28208302474","NA","25762.44175003376","NA","NA","New experiment","2","8988.553832983598","2","1024"
"100","NA","100","5189","5189","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sun Oct 15 15:48:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","fake","Melodramatic Milgram","4.0.5","DullHologram","left","right","NA","space","left","NA","left","6581.112583982758","800.5359169910662","NA","1105.2499579964206","14556.750709016342","NA","6581.112583982758","NA","NA","2","fake_20","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","44462.8260830068","NA","NA","44968.93891703803","32886.6483750171","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","44969.16533302283","33993.929749995004","44450.41054202011","NA","32877.32541700825","NA","27892.178417008836","51552.46091703884","NA","25762.44175003376","NA","NA","New experiment","3","15569.666416966356","3","1024"
"75","NA","75","4171","4171","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sun Oct 15 15:48:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","fake","Melodramatic Milgram","4.0.5","PurpleDenomination","right","right","NA","space","left","NA","right","1116.0309169790708","800.5359169910662","NA","1105.2499579964206","14556.750709016342","NA","1116.0309169790708","NA","NA","2","fake_20","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","51765.21154202055","NA","NA","52271.5138749918","32886.6483750171","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","52271.70358301373","33993.929749995004","51723.98279199842","NA","32877.32541700825","NA","27892.178417008836","53389.14045802085","NA","25762.44175003376","NA","NA","New experiment","3","16685.697333945427","4","1024"
"60","NA","60","4605","4605","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sun Oct 15 15:48:50 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Student","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-2.csv","real","Melodramatic Milgram","4.0.5","photo","left","right","NA","space","left","NA","left","6342.656874970999","800.5359169910662","NA","1105.2499579964206","14556.750709016342","NA","6342.656874970999","NA","NA","2","real_50","1024","2","48000","-16","experiment","2","even","25763.228875002824","NA","21641.813958005514","31112.503791984636","NA","24832.08820800064","6672.130750026554","53509.23604203854","NA","NA","54013.82083300268","32886.6483750171","6730.252832989208","NA","NA","NA","NA","NA","NA","NA","NA","NA","27892.967041989323","NA","54013.99175002007","33993.929749995004","53500.68966700928","NA","32877.32541700825","NA","27892.178417008836","60359.9662919878","NA","25762.44175003376","NA","NA","New experiment","3","23028.354208916426","5","1024"
