"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 14:27:05 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Yes","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","right","NA","NA","right","NA","NA","5084.049100056291","5084.049100056291","NA","NA","11181.358799920417","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","52","even","NA","NA","72371.9121000031","NA","NA","82374.76390006486","61070.334600051865","NA","NA","NA","NA","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 14:27:05 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Masters","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","NA","Melodramatic Milgram","4.0.5","NA","Masters","right","NA","NA","right","NA","NA","5084.049100056291","5084.049100056291","NA","NA","11181.358799920417","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","52","even","NA","NA","72371.9121000031","NA","NA","82374.76390006486","61070.334600051865","NA","NA","NA","NA","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","87696.21379999444","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 14:27:05 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","34","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","NA","Melodramatic Milgram","4.0.5","NA","34","right","NA","NA","right","NA","NA","5084.049100056291","5084.049100056291","NA","NA","11181.358799920417","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","NA","NA","82374.76390006486","61070.334600051865","NA","NA","NA","NA","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","102658.50580006372","NA","NA","87696.21379999444","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 14:27:05 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","dutch","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","NA","Melodramatic Milgram","4.0.5","NA","dutch","right","NA","NA","right","NA","NA","5084.049100056291","5084.049100056291","NA","NA","11181.358799920417","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","NA","NA","NA","NA","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","NA","NA","NA","NA","NA","NA","102658.50580006372","NA","NA","87696.21379999444","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Thu Oct 26 14:27:05 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","NA","Melodramatic Milgram","4.0.5","NA","Professional and Technical Occupations","right","NA","NA","right","NA","NA","5084.049100056291","5084.049100056291","NA","NA","11181.358799920417","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","NA","NA","NA","NA","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","NA","NA","NA","NA","120129.74150001537","NA","102658.50580006372","NA","NA","87696.21379999444","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","6633","6633","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Thu Oct 26 14:27:05 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","left","right","NA","NA","right","NA","left","6633.398599922657","5084.049100056291","NA","NA","11181.358799920417","NA","6633.398599922657","NA","NA","2","fake_20","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","120382.12359999306","NA","NA","120892.42170006037","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","120892.85200007726","120135.2611000184","120372.70180007908","NA","120129.74150001537","NA","102658.50580006372","127527.0717999665","NA","87696.21379999444","NA","NA","New experiment","1","6633.398599922657","1","1024"
"50","NA","50","5414","5414","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","1","NA","0","1","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Thu Oct 26 14:27:05 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","real","Melodramatic Milgram","4.0.5","genuine","left","right","NA","NA","right","NA","left","4194.845499936491","5084.049100056291","NA","NA","11181.358799920417","NA","4194.845499936491","NA","NA","2","real_20","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","128340.62350005843","NA","NA","128851.03700007312","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","128851.3827000279","120135.2611000184","128329.98070004396","NA","120129.74150001537","NA","102658.50580006372","133046.9247000292","NA","87696.21379999444","NA","NA","New experiment","1","10828.244099859148","2","1024"
"66","NA","66","4313","4313","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","2","NA","0","2","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Thu Oct 26 14:27:05 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","real","Melodramatic Milgram","4.0.5","photo","right","right","NA","NA","right","NA","right","2112.76180006098","5084.049100056291","NA","NA","11181.358799920417","NA","2112.76180006098","NA","NA","2","real_50","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","133358.78350003622","NA","NA","133866.62069999147","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","133866.94179999176","120135.2611000184","133347.13890007697","NA","120129.74150001537","NA","102658.50580006372","135980.5109000299","NA","87696.21379999444","NA","NA","New experiment","2","12941.005899920128","3","1024"
"75","NA","75","4264","4264","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","3","NA","0","3","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Thu Oct 26 14:27:05 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","fake","Melodramatic Milgram","4.0.5","BadInk","left","right","NA","NA","right","NA","left","4118.428400019184","5084.049100056291","NA","NA","11181.358799920417","NA","4118.428400019184","NA","NA","2","fake_20","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","136266.0281000426","NA","NA","136774.7609000653","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","136775.05980001297","120135.2611000184","136256.82060001418","NA","120129.74150001537","NA","102658.50580006372","140894.01449996512","NA","87696.21379999444","NA","NA","New experiment","3","17059.434299939312","4","1024"
"60","NA","60","4137","4137","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","4","NA","0","4","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Thu Oct 26 14:27:05 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-52.csv","fake","Melodramatic Milgram","4.0.5","GreyDenomination","right","right","NA","NA","right","NA","right","3626.2614999432117","5084.049100056291","NA","NA","11181.358799920417","NA","3626.2614999432117","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","52","even","87699.92470007855","NA","72371.9121000031","111128.24270001147","NA","82374.76390006486","61070.334600051865","141152.0422999747","NA","NA","141657.11989998817","NA","61184.92430006154","NA","NA","NA","NA","NA","NA","NA","NA","NA","102664.69150001649","NA","141657.26220002398","120135.2611000184","141140.09630004875","NA","120129.74150001537","NA","102658.50580006372","145284.50150007848","NA","87696.21379999444","NA","NA","New experiment","3","20685.695799882524","5","1024"
