"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 17:36:52 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Yes","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","right","NA","NA","right","NA","NA","5385.8043000800535","5385.8043000800535","NA","NA","19238.67979994975","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","55","odd","NA","NA","73414.16970000137","NA","NA","82412.2892000014","54052.00800008606","NA","NA","NA","NA","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 17:36:52 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","PhD","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","NA","Melodramatic Milgram","4.0.5","NA","PhD","right","NA","NA","right","NA","NA","5385.8043000800535","5385.8043000800535","NA","NA","19238.67979994975","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","55","odd","NA","NA","73414.16970000137","NA","NA","82412.2892000014","54052.00800008606","NA","NA","NA","NA","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","85517.06370001193","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 17:36:52 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","36","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","NA","Melodramatic Milgram","4.0.5","NA","36","right","NA","NA","right","NA","NA","5385.8043000800535","5385.8043000800535","NA","NA","19238.67979994975","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","NA","NA","82412.2892000014","54052.00800008606","NA","NA","NA","NA","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","95843.2072000578","NA","NA","85517.06370001193","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 17:36:52 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","German","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","NA","Melodramatic Milgram","4.0.5","NA","German","right","NA","NA","right","NA","NA","5385.8043000800535","5385.8043000800535","NA","NA","19238.67979994975","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","NA","NA","NA","NA","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","NA","NA","NA","NA","NA","NA","95843.2072000578","NA","NA","85517.06370001193","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 17:36:52 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","NA","Melodramatic Milgram","4.0.5","NA","Professional and Technical Occupations","right","NA","NA","right","NA","NA","5385.8043000800535","5385.8043000800535","NA","NA","19238.67979994975","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","NA","NA","NA","NA","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","NA","NA","NA","NA","104983.4578000009","NA","95843.2072000578","NA","NA","85517.06370001193","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","2922","2922","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Fri Oct 27 17:36:52 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","real","Melodramatic Milgram","4.0.5","genuine","right","right","NA","NA","right","NA","right","2922.0926000270993","5385.8043000800535","NA","NA","19238.67979994975","NA","2922.0926000270993","NA","NA","2","real_50","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","105186.67220009957","NA","NA","105693.69159999769","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","105694.06640005764","104987.98820003867","105174.72200002521","NA","104983.4578000009","NA","95843.2072000578","108617.05310002435","NA","85517.06370001193","NA","NA","New experiment","1","2922.0926000270993","1","1024"
"100","NA","100","2326","2326","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","1","NA","0","1","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Fri Oct 27 17:36:52 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","fake","Melodramatic Milgram","4.0.5","PurpleDenomination3","left","right","NA","NA","right","NA","left","1731.6295999335125","5385.8043000800535","NA","NA","19238.67979994975","NA","1731.6295999335125","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","109199.1559000453","NA","NA","109705.59490006417","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","109705.78030007891","104987.98820003867","109189.60230005905","NA","104983.4578000009","NA","95843.2072000578","111438.11290001031","NA","85517.06370001193","NA","NA","New experiment","2","4653.722199960612","2","1024"
"100","NA","100","2272","2272","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Fri Oct 27 17:36:52 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","fake","Melodramatic Milgram","4.0.5","bottom_left","left","right","NA","NA","right","NA","left","2162.3265999369323","5385.8043000800535","NA","NA","19238.67979994975","NA","2162.3265999369323","NA","NA","2","fake_1_50","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","111650.02739999909","NA","NA","112156.96749999188","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","112157.17480005696","104987.98820003867","111641.14640001208","NA","104983.4578000009","NA","95843.2072000578","114320.8869000664","NA","85517.06370001193","NA","NA","New experiment","3","6816.048799897544","3","1024"
"100","NA","100","1970","1970","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","3","NA","0","3","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Fri Oct 27 17:36:52 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","fake","Melodramatic Milgram","4.0.5","NoNumOnThread_BlurryWatermark","left","right","NA","NA","right","NA","left","1065.7941999379545","5385.8043000800535","NA","NA","19238.67979994975","NA","1065.7941999379545","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","114611.7364000529","NA","NA","115118.2095000986","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","115118.40850010049","104987.98820003867","114602.85810008645","NA","104983.4578000009","NA","95843.2072000578","116185.14060007874","NA","85517.06370001193","NA","NA","New experiment","4","7881.842999835499","4","1024"
"80","NA","80","1806","1806","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","4","NA","0","4","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Fri Oct 27 17:36:52 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-55.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","right","right","NA","NA","right","NA","right","1148.1885999673977","5385.8043000800535","NA","NA","19238.67979994975","NA","1148.1885999673977","NA","NA","2","fake_20","1024","2","48000","-16","experiment","55","odd","85528.9215000812","NA","73414.16970000137","99865.51690008491","NA","82412.2892000014","54052.00800008606","116481.72780009918","NA","NA","116987.88250004873","NA","54166.872700094245","NA","NA","NA","NA","NA","NA","NA","NA","NA","95849.99220003374","NA","116988.12530003488","104987.98820003867","116471.2048000656","NA","104983.4578000009","NA","95843.2072000578","118137.28520006407","NA","85517.06370001193","NA","NA","New experiment","4","9030.031599802896","5","1024"
