"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:47:46 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","No","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","NA","Melodramatic Milgram","4.0.5","NA","No","right","NA","NA","right","NA","NA","2665.9713750123046","2665.9713750123046","NA","NA","1687.9761249874718","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","9","odd","NA","NA","8750.971499976004","NA","NA","16557.85729197669","6871.244666981511","NA","NA","NA","NA","NA","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:47:46 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Bachelors","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","right","NA","NA","right","NA","NA","2665.9713750123046","2665.9713750123046","NA","NA","1687.9761249874718","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","9","odd","NA","NA","8750.971499976004","NA","NA","16557.85729197669","6871.244666981511","NA","NA","NA","NA","NA","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","32546.39924998628","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:47:46 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","22","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","NA","Melodramatic Milgram","4.0.5","NA","22","right","NA","NA","right","NA","NA","2665.9713750123046","2665.9713750123046","NA","NA","1687.9761249874718","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","NA","NA","16557.85729197669","6871.244666981511","NA","NA","NA","NA","NA","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","36867.807291971985","NA","NA","32546.39924998628","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:47:46 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","hungarian","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","NA","Melodramatic Milgram","4.0.5","NA","hungarian","right","NA","NA","right","NA","NA","2665.9713750123046","2665.9713750123046","NA","NA","1687.9761249874718","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","NA","NA","NA","NA","NA","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","NA","NA","NA","NA","NA","NA","36867.807291971985","NA","NA","32546.39924998628","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:47:46 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","NA","Melodramatic Milgram","4.0.5","NA","Arts and Creative Professions","right","NA","NA","right","NA","NA","2665.9713750123046","2665.9713750123046","NA","NA","1687.9761249874718","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","NA","NA","NA","NA","NA","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","NA","NA","NA","NA","54619.55466697691","NA","36867.807291971985","NA","NA","32546.39924998628","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","4231","4231","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Fri Oct 27 22:47:46 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","fake","Melodramatic Milgram","4.0.5","PurpleDenomination2","left","right","NA","right","right","NA","left","4231.493625004077","2665.9713750123046","NA","3430.277917010244","1687.9761249874718","NA","4231.493625004077","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","58124.81620797189","NA","NA","58629.01870798669","54630.18245797139","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","58629.141624987824","58061.6015829728","58115.708541998174","NA","54619.55466697691","NA","36867.807291971985","62863.367291982286","NA","32546.39924998628","NA","NA","New experiment","1","4231.493625004077","1","1024"
"100","NA","100","2458","2458","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Fri Oct 27 22:47:46 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","real","Melodramatic Milgram","4.0.5","photo","right","right","NA","right","right","NA","right","685.9874999790918","2665.9713750123046","NA","3430.277917010244","1687.9761249874718","NA","685.9874999790918","NA","NA","2","real_20","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","63033.50524997222","NA","NA","63537.62937497231","54630.18245797139","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","63537.7543749928","58061.6015829728","63026.57783299219","NA","54619.55466697691","NA","36867.807291971985","64224.86041698721","NA","32546.39924998628","NA","NA","New experiment","2","4917.481124983169","2","1024"
"100","NA","100","1908","1908","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Fri Oct 27 22:47:46 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","fake","Melodramatic Milgram","4.0.5","DullHologram2","left","right","NA","right","right","NA","left","808.7279159808531","2665.9713750123046","NA","3430.277917010244","1687.9761249874718","NA","808.7279159808531","NA","NA","2","fake_20","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","64316.254291974474","NA","NA","64819.893207983114","54630.18245797139","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","64820.00616699224","58061.6015829728","64311.633207980776","NA","54619.55466697691","NA","36867.807291971985","65629.83374999021","NA","32546.39924998628","NA","NA","New experiment","3","5726.209040964022","3","1024"
"100","NA","100","2021","2021","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Fri Oct 27 22:47:46 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","left","right","NA","right","right","NA","left","2358.881874999497","2665.9713750123046","NA","3430.277917010244","1687.9761249874718","NA","2358.881874999497","NA","NA","2","fake_20","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","65720.8082919824","NA","NA","66224.85562498332","54630.18245797139","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","66224.96858297382","58061.6015829728","65716.14020798006","NA","54619.55466697691","NA","36867.807291971985","68584.97158298269","NA","32546.39924998628","NA","NA","New experiment","4","8085.090915963519","4","1024"
"80","NA","80","1941","1941","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Fri Oct 27 22:47:46 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Arts and Creative Professions","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-9.csv","real","Melodramatic Milgram","4.0.5","genuine","left","right","NA","right","right","NA","left","1623.880166996969","2665.9713750123046","NA","3430.277917010244","1687.9761249874718","NA","1623.880166996969","NA","NA","2","real_20","1024","2","48000","-16","experiment","9","odd","32547.54133298411","NA","8750.971499976004","48240.99491699599","NA","16557.85729197669","6871.244666981511","68656.88445797423","NA","NA","69160.84158298327","54630.18245797139","6904.0517499961425","NA","NA","NA","NA","NA","NA","NA","NA","NA","36868.619249988114","NA","69160.96099998686","58061.6015829728","68650.4871249781","NA","54619.55466697691","NA","36867.807291971985","70785.80983297434","NA","32546.39924998628","NA","NA","New experiment","4","9708.971082960488","5","1024"
