"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 17:00:06 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Yes","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","NA","Melodramatic Milgram","4.0.6","NA","Yes","down","NA","NA","right","NA","NA","3940.9079551696777","3940.9079551696777","NA","NA","34299.49593544006","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","NA","NA","38289.80302810669","NA","NA","48291.27097129822","3909.5869064331055","NA","NA","NA","NA","NA","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 17:00:06 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","High School","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","NA","Melodramatic Milgram","4.0.6","NA","High School","down","NA","NA","right","NA","NA","3940.9079551696777","3940.9079551696777","NA","NA","34299.49593544006","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","NA","NA","38289.80302810669","NA","NA","48291.27097129822","3909.5869064331055","NA","NA","NA","NA","NA","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","56292.136907577515","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 17:00:06 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","26","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","NA","Melodramatic Milgram","4.0.6","NA","26","down","NA","NA","right","NA","NA","3940.9079551696777","3940.9079551696777","NA","NA","34299.49593544006","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","NA","NA","48291.27097129822","3909.5869064331055","NA","NA","NA","NA","NA","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","93425.90808868408","NA","NA","56292.136907577515","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 17:00:06 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","polen","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","NA","Melodramatic Milgram","4.0.6","NA","polen","down","NA","NA","right","NA","NA","3940.9079551696777","3940.9079551696777","NA","NA","34299.49593544006","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","NA","NA","NA","NA","NA","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","NA","NA","NA","NA","NA","NA","93425.90808868408","NA","NA","56292.136907577515","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 17:00:06 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","NA","Melodramatic Milgram","4.0.6","NA","Professional and Technical Occupations","down","NA","NA","right","NA","NA","3940.9079551696777","3940.9079551696777","NA","NA","34299.49593544006","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","NA","NA","NA","NA","NA","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","NA","NA","NA","NA","134942.43097305298","NA","93425.90808868408","NA","NA","56292.136907577515","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","5673","5673","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 15 17:00:06 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","fake","Melodramatic Milgram","4.0.6","PurpleDenomination3","left","down","NA","right","right","NA","left","5673.156976699829","3940.9079551696777","NA","119473.58107566833","34299.49593544006","NA","5673.156976699829","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","254535.76493263245","NA","NA","255052.29210853577","134965.33298492432","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","255053.69997024536","254439.17393684387","254517.81511306763","NA","134942.43097305298","NA","93425.90808868408","260727.25009918213","NA","56292.136907577515","NA","NA","New experiment","1","5673.156976699829","1","1024"
"50","NA","50","11921","11921","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sun Oct 15 17:00:06 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","fake","Melodramatic Milgram","4.0.6","BadInk2","right","down","NA","right","right","NA","right","18170.337915420532","3940.9079551696777","NA","119473.58107566833","34299.49593544006","NA","18170.337915420532","NA","NA","2","fake_20","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","260902.53400802612","NA","NA","261419.36993598938","134965.33298492432","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","261420.58610916138","254439.17393684387","260883.58306884766","NA","134942.43097305298","NA","93425.90808868408","279591.2079811096","NA","56292.136907577515","NA","NA","New experiment","1","23843.49489212036","2","1024"
"66","NA","66","10441","10441","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sun Oct 15 17:00:06 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","real","Melodramatic Milgram","4.0.6","photo","right","down","NA","right","right","NA","right","7479.885101318359","3940.9079551696777","NA","119473.58107566833","34299.49593544006","NA","7479.885101318359","NA","NA","2","real_50","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","279737.2100353241","NA","NA","280253.98802757263","134965.33298492432","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","280255.0458908081","254439.17393684387","279727.5469303131","NA","134942.43097305298","NA","93425.90808868408","287735.2180480957","NA","56292.136907577515","NA","NA","New experiment","2","31323.37999343872","3","1024"
"75","NA","75","9427","9427","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sun Oct 15 17:00:06 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","fake","Melodramatic Milgram","4.0.6","PurpleDenomination","left","down","NA","right","right","NA","left","6385.43701171875","3940.9079551696777","NA","119473.58107566833","34299.49593544006","NA","6385.43701171875","NA","NA","2","fake_20","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","287887.80403137207","NA","NA","288404.2820930481","134965.33298492432","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","288405.49302101135","254439.17393684387","287871.1950778961","NA","134942.43097305298","NA","93425.90808868408","294791.20993614197","NA","56292.136907577515","NA","NA","New experiment","3","37708.81700515747","4","1024"
"80","NA","80","8125","8125","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sun Oct 15 17:00:06 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/subject-0.csv","real","Melodramatic Milgram","4.0.6","photo_2","right","down","NA","right","right","NA","right","2919.4889068603516","3940.9079551696777","NA","119473.58107566833","34299.49593544006","NA","2919.4889068603516","NA","NA","2","real_50","1024","2","48000","-16","experiment","0","even","56303.66802215576","NA","38289.80302810669","106928.45296859741","NA","48291.27097129822","3909.5869064331055","294938.24911117554","NA","NA","295454.5929431915","134965.33298492432","3963.2010459899902","NA","NA","NA","NA","NA","NA","NA","NA","NA","93434.71193313599","NA","295455.42311668396","254439.17393684387","294922.88398742676","NA","134942.43097305298","NA","93425.90808868408","298375.1850128174","NA","56292.136907577515","NA","NA","New experiment","4","40628.30591201782","5","1024"
