"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 16:43:15 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Yes","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","return","NA","NA","return","NA","NA","1627.233300008811","1627.233300008811","NA","NA","3747.4533000058727","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","NA","NA","27207.412000003387","NA","NA","30832.11270000902","23399.064099998213","NA","NA","NA","NA","NA","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 16:43:15 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Bachelors","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","return","NA","NA","return","NA","NA","1627.233300008811","1627.233300008811","NA","NA","3747.4533000058727","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","NA","NA","27207.412000003387","NA","NA","30832.11270000902","23399.064099998213","NA","NA","NA","NA","NA","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","32291.470399999525","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 16:43:15 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","22","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","22","return","NA","NA","return","NA","NA","1627.233300008811","1627.233300008811","NA","NA","3747.4533000058727","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","NA","NA","30832.11270000902","23399.064099998213","NA","NA","NA","NA","NA","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","35668.16420000396","NA","NA","32291.470399999525","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 16:43:15 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","German","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","German","return","NA","NA","return","NA","NA","1627.233300008811","1627.233300008811","NA","NA","3747.4533000058727","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","NA","NA","NA","NA","NA","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","NA","NA","NA","NA","NA","NA","35668.16420000396","NA","NA","32291.470399999525","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 16:43:15 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Student","return","NA","NA","return","NA","NA","1627.233300008811","1627.233300008811","NA","NA","3747.4533000058727","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","NA","NA","NA","NA","NA","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","NA","NA","NA","NA","52351.35029999947","NA","35668.16420000396","NA","NA","32291.470399999525","NA","NA","New experiment","0","0","0","1024"
"0","NA","0","5268","5268","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sat Oct 28 16:43:15 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","fake","Melodramatic Milgram","4.0.5","BadInk","right","return","NA","return","return","NA","right","5268.196999997599","1627.233300008811","NA","118610.93599999731","3747.4533000058727","NA","5268.196999997599","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","171263.21440000902","NA","NA","171768.2543999981","52367.60940001113","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","171768.44630000414","170979.06180001155","171257.30480000493","NA","52351.35029999947","NA","35668.16420000396","177036.99760000745","NA","32291.470399999525","NA","NA","New experiment","0","5268.196999997599","1","1024"
"0","NA","0","7200","7200","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sat Oct 28 16:43:15 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","fake","Melodramatic Milgram","4.0.5","silver_strip","right","return","NA","return","return","NA","right","9132.418400011375","1627.233300008811","NA","118610.93599999731","3747.4533000058727","NA","9132.418400011375","NA","NA","2","fake_2_20","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","177376.8390000041","NA","NA","177881.31050000084","52367.60940001113","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","177881.56249999884","170979.06180001155","177371.48070000694","NA","52351.35029999947","NA","35668.16420000396","187014.3659000023","NA","32291.470399999525","NA","NA","New experiment","0","14400.615400008974","2","1024"
"33","NA","33","5914","5914","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sat Oct 28 16:43:15 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","fake","Melodramatic Milgram","4.0.5","PurpleDenomination3","left","return","NA","return","return","NA","left","3344.0791000030003","1627.233300008811","NA","118610.93599999731","3747.4533000058727","NA","3344.0791000030003","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","187216.57270001015","NA","NA","187721.24710000935","52367.60940001113","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","187721.4299000043","170979.06180001155","187211.11910000036","NA","52351.35029999947","NA","35668.16420000396","191066.11030000204","NA","32291.470399999525","NA","NA","New experiment","1","17744.694500011974","3","1024"
"25","NA","25","5147","5147","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sat Oct 28 16:43:15 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","fake","Melodramatic Milgram","4.0.5","DullHologram2","right","return","NA","return","return","NA","right","2846.3275999965845","1627.233300008811","NA","118610.93599999731","3747.4533000058727","NA","2846.3275999965845","NA","NA","2","fake_20","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","191261.3282000093","NA","NA","191766.35990000796","52367.60940001113","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","191766.6370000079","170979.06180001155","191256.55330000154","NA","52351.35029999947","NA","35668.16420000396","194613.37099999946","NA","32291.470399999525","NA","NA","New experiment","1","20591.02210000856","4","1024"
"40","NA","40","4777","4777","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sat Oct 28 16:43:15 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment","no","mono","no","18","no","white","no","Student","yes","768","C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/logs_with/subject-1.csv","real","Melodramatic Milgram","4.0.5","photo_2","right","return","NA","return","return","NA","right","3294.1388999897754","1627.233300008811","NA","118610.93599999731","3747.4533000058727","NA","3294.1388999897754","NA","NA","2","real_50","1024","2","48000","-16","experiment","1","odd","32293.70629999903","NA","27207.412000003387","43622.581000003265","NA","30832.11270000902","23399.064099998213","194785.40940000676","NA","NA","195290.51120000076","52367.60940001113","23455.85480000591","NA","NA","NA","NA","NA","NA","NA","NA","NA","35670.83190000267","NA","195290.8720000123","170979.06180001155","194780.27630000724","NA","52351.35029999947","NA","35668.16420000396","198585.48970000993","NA","32291.470399999525","NA","NA","New experiment","2","23885.160999998334","5","1024"
