"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 18:10:58 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Yes","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","NA","Melodramatic Milgram","4.0.6","NA","Yes","right","NA","NA","right","NA","NA","2111.8569374084473","2111.8569374084473","NA","NA","1999.8559951782227","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","666","even","NA","NA","8025.037050247192","NA","NA","12606.894969940186","5896.587133407593","NA","NA","NA","NA","NA","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 18:10:58 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Bachelors","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","NA","Melodramatic Milgram","4.0.6","NA","Bachelors","right","NA","NA","right","NA","NA","2111.8569374084473","2111.8569374084473","NA","NA","1999.8559951782227","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","666","even","NA","NA","8025.037050247192","NA","NA","12606.894969940186","5896.587133407593","NA","NA","NA","NA","NA","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15792.59204864502","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 18:10:58 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","24","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","NA","Melodramatic Milgram","4.0.6","NA","24","right","NA","NA","right","NA","NA","2111.8569374084473","2111.8569374084473","NA","NA","1999.8559951782227","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","NA","NA","12606.894969940186","5896.587133407593","NA","NA","NA","NA","NA","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19156.79097175598","NA","NA","15792.59204864502","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 18:10:58 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Polish","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","NA","Melodramatic Milgram","4.0.6","NA","Polish","right","NA","NA","right","NA","NA","2111.8569374084473","2111.8569374084473","NA","NA","1999.8559951782227","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","NA","NA","NA","NA","NA","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","NA","NA","NA","NA","NA","NA","19156.79097175598","NA","NA","15792.59204864502","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sat Oct 28 18:10:58 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","NA","Melodramatic Milgram","4.0.6","NA","Student","right","NA","NA","right","NA","NA","2111.8569374084473","2111.8569374084473","NA","NA","1999.8559951782227","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","NA","NA","NA","NA","NA","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","NA","NA","NA","NA","26325.963020324707","NA","19156.79097175598","NA","NA","15792.59204864502","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","3888","3888","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sat Oct 28 18:10:58 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","real","Melodramatic Milgram","4.0.6","genuine","right","right","NA","right","right","NA","right","3888.680934906006","2111.8569374084473","NA","6627.05397605896","1999.8559951782227","NA","3888.680934906006","NA","NA","2","real_20","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","33058.20417404175","NA","NA","33574.93615150452","26357.88917541504","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","33576.266050338745","32985.215187072754","33043.33806037903","NA","26325.963020324707","NA","19156.79097175598","37465.20805358887","NA","15792.59204864502","NA","NA","New experiment","1","3888.680934906006","1","1024"
"100","NA","100","2597","2597","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sat Oct 28 18:10:58 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","fake","Melodramatic Milgram","4.0.6","DullHologram2","left","right","NA","right","right","NA","left","1306.3011169433594","2111.8569374084473","NA","6627.05397605896","1999.8559951782227","NA","1306.3011169433594","NA","NA","2","fake_20","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","37646.20804786682","NA","NA","38158.42413902283","26357.88917541504","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","38158.65397453308","32985.215187072754","37637.93897628784","NA","26325.963020324707","NA","19156.79097175598","39465.21496772766","NA","15792.59204864502","NA","NA","New experiment","2","5194.982051849365","2","1024"
"66","NA","66","3079","3079","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sat Oct 28 18:10:58 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","fake","Melodramatic Milgram","4.0.6","PurpleDenomination2","right","right","NA","right","right","NA","right","4042.597770690918","2111.8569374084473","NA","6627.05397605896","1999.8559951782227","NA","4042.597770690918","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","39625.36811828613","NA","NA","40141.97516441345","26357.88917541504","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","40142.34519004822","32985.215187072754","39613.386154174805","NA","26325.963020324707","NA","19156.79097175598","44185.21213531494","NA","15792.59204864502","NA","NA","New experiment","2","9237.579822540283","3","1024"
"50","NA","50","3032","3032","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sat Oct 28 18:10:58 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","fake","Melodramatic Milgram","4.0.6","PurpleDenomination","right","right","NA","right","right","NA","right","2892.8709030151367","2111.8569374084473","NA","6627.05397605896","1999.8559951782227","NA","2892.8709030151367","NA","NA","2","fake_20","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","44342.12517738342","NA","NA","44859.03096199036","26357.88917541504","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","44860.093116760254","32985.215187072754","44323.55713844299","NA","26325.963020324707","NA","19156.79097175598","47753.228187561035","NA","15792.59204864502","NA","NA","New experiment","2","12130.45072555542","4","1024"
"60","NA","60","2729","2729","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sat Oct 28 18:10:58 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/home/matt/Documents/VU/MS/Cognitive_Psychology/project","no","mono","no","18","no","white","no","Student","yes","768","/home/matt/Documents/VU/MS/Cognitive_Psychology/project/code/responses/with_ins/subject-666.csv","real","Melodramatic Milgram","4.0.6","photo","right","right","NA","right","right","NA","right","1517.0748233795166","2111.8569374084473","NA","6627.05397605896","1999.8559951782227","NA","1517.0748233795166","NA","NA","2","real_50","1024","2","48000","-16","experiment","666","even","15801.614046096802","NA","8025.037050247192","22808.616161346436","NA","12606.894969940186","5896.587133407593","47908.96797180176","NA","NA","48425.91404914856","26357.88917541504","5999.855995178223","NA","NA","NA","NA","NA","NA","NA","NA","NA","19159.934997558594","NA","48427.84118652344","32985.215187072754","47900.315046310425","NA","26325.963020324707","NA","19156.79097175598","49945.192098617554","NA","15792.59204864502","NA","NA","New experiment","3","13647.525548934937","5","1024"
