"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 14:29:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Yes","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","right","NA","NA","right","NA","NA","5363.633583998308","5363.633583998308","NA","NA","28522.920624993276","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","NA","NA","34928.55587502709","NA","NA","47096.449792035855","6132.6068750349805","NA","NA","NA","NA","NA","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 14:29:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Bachelors","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","right","NA","NA","right","NA","NA","5363.633583998308","5363.633583998308","NA","NA","28522.920624993276","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","NA","NA","34928.55587502709","NA","NA","47096.449792035855","6132.6068750349805","NA","NA","NA","NA","NA","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","69450.71100001223","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 14:29:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","22","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","22","right","NA","NA","right","NA","NA","5363.633583998308","5363.633583998308","NA","NA","28522.920624993276","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","NA","NA","47096.449792035855","6132.6068750349805","NA","NA","NA","NA","NA","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","79976.16812505294","NA","NA","69450.71100001223","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 14:29:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Hungarian","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Hungarian","right","NA","NA","right","NA","NA","5363.633583998308","5363.633583998308","NA","NA","28522.920624993276","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","NA","NA","NA","NA","NA","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","NA","NA","NA","NA","NA","NA","79976.16812505294","NA","NA","69450.71100001223","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Sun Oct 15 14:29:50 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","NA","Melodramatic Milgram","4.0.5","NA","Manufacturing and Production","right","NA","NA","right","NA","NA","5363.633583998308","5363.633583998308","NA","NA","28522.920624993276","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","NA","NA","NA","NA","NA","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","NA","NA","NA","NA","116149.68504203716","NA","79976.16812505294","NA","NA","69450.71100001223","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","7192","7192","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 15 14:29:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","fake","Melodramatic Milgram","4.0.5","BadInk2","left","right","NA","right","right","NA","left","7192.889041965827","5363.633583998308","NA","83523.45808397513","28522.920624993276","NA","7192.889041965827","NA","NA","2","fake_20","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","199882.15020904317","NA","NA","200387.4328340171","116162.70487505244","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","200387.61000003433","199690.84675004706","199804.55937504303","NA","116149.68504203716","NA","79976.16812505294","207583.77075003227","NA","69450.71100001223","NA","NA","New experiment","1","7192.889041965827","1","1024"
"100","NA","100","5220","5220","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Sun Oct 15 14:29:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","fake","Melodramatic Milgram","4.0.5","BrownDenomination","left","right","NA","right","right","NA","left","3247.5709170103073","5363.633583998308","NA","83523.45808397513","28522.920624993276","NA","3247.5709170103073","NA","NA","2","fake_20","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","207830.54995903512","NA","NA","208336.02516702376","116162.70487505244","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","208336.2216250389","199690.84675004706","207792.52812505","NA","116149.68504203716","NA","79976.16812505294","211586.18520904565","NA","69450.71100001223","NA","NA","New experiment","2","10440.459958976135","2","1024"
"100","NA","100","6426","6426","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Sun Oct 15 14:29:50 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","fake","Melodramatic Milgram","4.0.5","BadInk","left","right","NA","right","right","NA","left","8839.511165977456","5363.633583998308","NA","83523.45808397513","28522.920624993276","NA","8839.511165977456","NA","NA","2","fake_20","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","211718.57983403606","NA","NA","212225.5053340341","116162.70487505244","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","212225.74145905674","199690.84675004706","211708.04537500953","NA","116149.68504203716","NA","79976.16812505294","221067.11345905205","NA","69450.71100001223","NA","NA","New experiment","3","19279.97112495359","3","1024"
"100","NA","100","6341","6341","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Sun Oct 15 14:29:50 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","real","Melodramatic Milgram","4.0.5","photo_2","right","right","NA","right","right","NA","right","6084.919749991968","5363.633583998308","NA","83523.45808397513","28522.920624993276","NA","6084.919749991968","NA","NA","2","real_50","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","221202.72975001717","NA","NA","221709.16308404412","116162.70487505244","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","221709.34575004503","199690.84675004706","221169.7692500311","NA","116149.68504203716","NA","79976.16812505294","227798.43400005484","NA","69450.71100001223","NA","NA","New experiment","4","25364.89087494556","4","1024"
"100","NA","100","5875","5875","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Sun Oct 15 14:29:50 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Manufacturing and Production","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-1.csv","fake","Melodramatic Milgram","4.0.5","BadInk","left","right","NA","right","right","NA","left","4013.304667023476","5363.633583998308","NA","83523.45808397513","28522.920624993276","NA","4013.304667023476","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","1","odd","69452.95683405129","NA","34928.55587502709","92574.15650004987","NA","47096.449792035855","6132.6068750349805","227999.80708403746","NA","NA","228504.9835840473","116162.70487505244","6176.136167021468","NA","NA","NA","NA","NA","NA","NA","NA","NA","79977.04770904966","NA","228505.17691700952","199690.84675004706","227964.79970903601","NA","116149.68504203716","NA","79976.16812505294","232519.85754200723","NA","69450.71100001223","NA","NA","New experiment","5","29378.195541969035","5","1024"
