"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 18:50:22 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Yes","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","NA","Melodramatic Milgram","4.0.5","NA","Yes","return","NA","NA","right","NA","NA","8550.110699958168","8550.110699958168","NA","NA","45329.93070001248","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","54","even","NA","NA","72548.71540004387","NA","NA","86282.85560000222","27165.806100005284","NA","NA","NA","NA","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 18:50:22 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Masters","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","NA","Melodramatic Milgram","4.0.5","NA","Masters","return","NA","NA","right","NA","NA","8550.110699958168","8550.110699958168","NA","NA","45329.93070001248","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","54","even","NA","NA","72548.71540004387","NA","NA","86282.85560000222","27165.806100005284","NA","NA","NA","NA","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","89345.25300003588","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 18:50:22 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","36","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","NA","Melodramatic Milgram","4.0.5","NA","36","return","NA","NA","right","NA","NA","8550.110699958168","8550.110699958168","NA","NA","45329.93070001248","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","NA","NA","86282.85560000222","27165.806100005284","NA","NA","NA","NA","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","95068.5128000332","NA","NA","89345.25300003588","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 18:50:22 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Italian","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","NA","Melodramatic Milgram","4.0.5","NA","Italian","return","NA","NA","right","NA","NA","8550.110699958168","8550.110699958168","NA","NA","45329.93070001248","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","NA","NA","NA","NA","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","NA","NA","NA","NA","NA","NA","95068.5128000332","NA","NA","89345.25300003588","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 18:50:22 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","NA","Melodramatic Milgram","4.0.5","NA","Professional and Technical Occupations","return","NA","NA","right","NA","NA","8550.110699958168","8550.110699958168","NA","NA","45329.93070001248","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","NA","NA","NA","NA","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","NA","NA","NA","NA","107035.93200002797","NA","95068.5128000332","NA","NA","89345.25300003588","NA","NA","New experiment","0","0","0","1024"
"0","NA","0","8722","8722","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Fri Oct 27 18:50:22 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","real","Melodramatic Milgram","4.0.5","genuine","left","return","NA","NA","right","NA","left","8722.31650003232","8550.110699958168","NA","NA","45329.93070001248","NA","8722.31650003232","NA","NA","2","real_20","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","107245.11680006981","NA","NA","107754.03080007527","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","107754.31490002666","107038.97320001852","107235.24670000188","NA","107035.93200002797","NA","95068.5128000332","116477.4383000331","NA","89345.25300003588","NA","NA","New experiment","0","8722.31650003232","1","1024"
"0","NA","0","5250","5250","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","1","NA","0","1","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Fri Oct 27 18:50:22 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","fake","Melodramatic Milgram","4.0.5","NoNumOnThread_BlurryWatermark","right","return","NA","NA","right","NA","right","1778.6731000524014","8550.110699958168","NA","NA","45329.93070001248","NA","1778.6731000524014","NA","NA","2","fake_20","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","116994.91250002757","NA","NA","117502.94800009578","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","117503.28810000792","107038.97320001852","116984.50300004333","NA","107035.93200002797","NA","95068.5128000332","119282.48290007468","NA","89345.25300003588","NA","NA","New experiment","0","10500.989600084722","2","1024"
"33","NA","33","5048","5048","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","2","NA","0","2","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Fri Oct 27 18:50:22 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","real","Melodramatic Milgram","4.0.5","photo","right","return","NA","NA","right","NA","right","4644.5614999393","8550.110699958168","NA","NA","45329.93070001248","NA","4644.5614999393","NA","NA","2","real_20","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","119618.96670004353","NA","NA","120128.40630009305","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","120128.72600008268","107038.97320001852","119609.33430003934","NA","107035.93200002797","NA","95068.5128000332","124774.67070007697","NA","89345.25300003588","NA","NA","New experiment","1","15145.551100024022","3","1024"
"25","NA","25","5232","5232","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","3","NA","0","3","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Fri Oct 27 18:50:22 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","real","Melodramatic Milgram","4.0.5","genuine","left","return","NA","NA","right","NA","left","5785.229700035416","8550.110699958168","NA","NA","45329.93070001248","NA","5785.229700035416","NA","NA","2","real_20","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","125088.0063000368","NA","NA","125594.072900014","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","125594.28860002663","107038.97320001852","125078.9162000874","NA","107035.93200002797","NA","95068.5128000332","131380.2392000798","NA","89345.25300003588","NA","NA","New experiment","1","20930.780800059438","4","1024"
"20","NA","20","6197","6197","#3d3846","psycho","NA","0","undefined","undefined","0","right","0","0","0","0","0","0","0","4","NA","0","4","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Fri Oct 27 18:50:22 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","C:/Users/joaquincr/Desktop","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","C:/Users/joaquincr/Desktop/subject-54.csv","real","Melodramatic Milgram","4.0.5","genuine","left","return","NA","NA","right","NA","left","10055.190699989907","8550.110699958168","NA","NA","45329.93070001248","NA","10055.190699989907","NA","NA","2","real_20","1024","2","48000","-16","experiment","54","even","89348.85660000145","NA","72548.71540004387","98819.76230000146","NA","86282.85560000222","27165.806100005284","131581.40160003677","NA","NA","132095.22390004713","NA","27212.94170001056","NA","NA","NA","NA","NA","NA","NA","NA","NA","95071.39500009362","NA","132095.658400096","107038.97320001852","131573.18470010068","NA","107035.93200002797","NA","95068.5128000332","142151.4274000656","NA","89345.25300003588","NA","NA","New experiment","1","30985.971500049345","5","1024"
