"acc","accept_status","accuracy","average_response_time","avg_rt","background","canvas_backend","checkbox_status","correct","correct_consent_sketchpad","correct_instruction_sketchpad","correct_new_keyboard_response","correct_response","count_age_form","count_checkbox_security_form","count_consent_sketchpad","count_country_logger","count_eurozone_form","count_eurozone_logger","count_experiment","count_fixation_dots","count_getting_started","count_goodbye_sketchpad","count_images_sketchpad","count_information_display_sketchpad","count_instruction_sketchpad","count_new_1_form_base","count_new_1_form_text_input","count_new_1_sketchpad","count_new_2_logger","count_new_4_form_multiple_choice","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_text_display","count_new_form_text_input","count_new_inline_script","count_new_keyboard_response","count_new_loop","count_new_sequence","count_occupation_form","count_occupation_logger","count_open_security_input_form","count_personal_data_logger","count_response_logger","count_schooling_level_form","count_schooling_logger","count_security_feature_logger","count_welcome","datetime","denomination","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","logfile","note_type","opensesame_codename","opensesame_version","reason","response","response_consent_sketchpad","response_goodbye_sketchpad","response_information_display_sketchpad","response_instruction_sketchpad","response_new_1_sketchpad","response_new_keyboard_response","response_time","response_time_consent_sketchpad","response_time_goodbye_sketchpad","response_time_information_display_sketchpad","response_time_instruction_sketchpad","response_time_new_1_sketchpad","response_time_new_keyboard_response","response_time_welcome","response_welcome","round_decimals","show","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_age_form","time_checkbox_security_form","time_consent_sketchpad","time_country_logger","time_eurozone_form","time_eurozone_logger","time_experiment","time_fixation_dots","time_getting_started","time_goodbye_sketchpad","time_images_sketchpad","time_information_display_sketchpad","time_instruction_sketchpad","time_new_1_form_base","time_new_1_form_text_input","time_new_1_sketchpad","time_new_2_logger","time_new_4_form_multiple_choice","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_text_display","time_new_form_text_input","time_new_inline_script","time_new_keyboard_response","time_new_loop","time_new_sequence","time_occupation_form","time_occupation_logger","time_open_security_input_form","time_personal_data_logger","time_response_logger","time_schooling_level_form","time_schooling_logger","time_security_feature_logger","time_welcome","title","total_correct","total_response_time","total_responses","width"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:52:26 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","No","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","No","right","NA","NA","right","NA","NA","4598.713999992469","4598.713999992469","NA","NA","1644.2924170114566","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","NA","NA","6321.501124999486","NA","NA","14605.325249984162","4499.627166980645","NA","NA","NA","NA","NA","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:52:26 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Bachelors","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","Bachelors","right","NA","NA","right","NA","NA","4598.713999992469","4598.713999992469","NA","NA","1644.2924170114566","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","NA","NA","6321.501124999486","NA","NA","14605.325249984162","4499.627166980645","NA","NA","NA","NA","NA","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17344.871459004935","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:52:26 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","24","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","24","right","NA","NA","right","NA","NA","4598.713999992469","4598.713999992469","NA","NA","1644.2924170114566","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","NA","NA","14605.325249984162","4499.627166980645","NA","NA","NA","NA","NA","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23127.909167000325","NA","NA","17344.871459004935","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:52:26 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","dutch","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","dutch","right","NA","NA","right","NA","NA","4598.713999992469","4598.713999992469","NA","NA","1644.2924170114566","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","NA","NA","NA","NA","NA","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","NA","NA","NA","NA","NA","NA","23127.909167000325","NA","NA","17344.871459004935","NA","NA","New experiment","0","0","0","1024"
"undefined","NA","undefined","undefined","undefined","#3d3846","psycho","NA","undefined","undefined","undefined","NA","NA","0","0","0","0","0","0","0","NA","NA","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","NA","0","0","0","NA","Fri Oct 27 22:52:26 2023","NA","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","NA","Melodramatic Milgram","4.0.5","NA","Professional and Technical Occupations","right","NA","NA","right","NA","NA","4598.713999992469","4598.713999992469","NA","NA","1644.2924170114566","NA","NA","NA","NA","2","NA","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","NA","NA","NA","NA","NA","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","NA","NA","NA","NA","51347.15191699797","NA","23127.909167000325","NA","NA","17344.871459004935","NA","NA","New experiment","0","0","0","1024"
"100","NA","100","10381","10381","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Fri Oct 27 22:52:26 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","fake","Melodramatic Milgram","4.0.5","silver_strip","left","right","NA","space","right","NA","left","10381.775957997888","4598.713999992469","NA","73200.0228749821","1644.2924170114566","NA","10381.775957997888","NA","NA","2","fake_2_20","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","124625.50220900448","NA","NA","125131.2871669943","51361.32479200023","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","125131.42941700062","124564.1312499938","124606.5993339871","NA","51347.15191699797","NA","23127.909167000325","135514.67004200094","NA","17344.871459004935","NA","NA","New experiment","1","10381.775957997888","1","1024"
"100","NA","100","8251","8251","#3d3846","psycho","NA","1","undefined","undefined","1","right","0","0","0","0","0","0","0","1","NA","0","1","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","1","0","1","0","0","0","0","1","0","0","0","NA","Fri Oct 27 22:52:26 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","real","Melodramatic Milgram","4.0.5","photo","right","right","NA","space","right","NA","right","6120.694040990202","4598.713999992469","NA","73200.0228749821","1644.2924170114566","NA","6120.694040990202","NA","NA","2","real_20","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","135705.73170899297","NA","NA","136209.9321669957","51361.32479200023","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","136210.06695899996","124564.1312499938","135696.55349999084","NA","51347.15191699797","NA","23127.909167000325","142331.92762499675","NA","17344.871459004935","NA","NA","New experiment","2","16502.46999898809","2","1024"
"66","NA","66","11941","11941","#3d3846","psycho","NA","0","undefined","undefined","0","left","0","0","0","0","0","0","0","2","NA","0","2","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","2","0","2","0","0","0","0","2","0","0","0","NA","Fri Oct 27 22:52:26 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","fake","Melodramatic Milgram","4.0.5","NoNumOnThread_BlurryWatermark","right","right","NA","space","right","NA","right","19323.0274579837","4598.713999992469","NA","73200.0228749821","1644.2924170114566","NA","19323.0274579837","NA","NA","2","fake_2_50","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","142427.17437498504","NA","NA","142931.20016698958","51361.32479200023","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","142931.32345899357","124564.1312499938","142419.2011669802","NA","51347.15191699797","NA","23127.909167000325","162255.90349998674","NA","17344.871459004935","NA","NA","New experiment","2","35825.49745697179","3","1024"
"75","NA","75","10548","10548","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","3","NA","0","3","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","3","0","3","0","0","0","0","3","0","0","0","NA","Fri Oct 27 22:52:26 2023","20","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","fake","Melodramatic Milgram","4.0.5","BadInk2","left","right","NA","space","right","NA","left","6367.78512498131","4598.713999992469","NA","73200.0228749821","1644.2924170114566","NA","6367.78512498131","NA","NA","2","fake_20","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","162385.45858400175","NA","NA","162890.94499999192","51361.32479200023","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","162891.0842500045","124564.1312499938","162355.3139999858","NA","51347.15191699797","NA","23127.909167000325","169260.44208399253","NA","17344.871459004935","NA","NA","New experiment","3","42193.2825819531","4","1024"
"80","NA","80","9610","9610","#3d3846","psycho","NA","1","undefined","undefined","1","left","0","0","0","0","0","0","0","4","NA","0","4","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","4","0","4","0","0","0","0","4","0","0","0","NA","Fri Oct 27 22:52:26 2023","50","The main experiment item","yes","CogPsy_Assignment_With_Instruction.osexp","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project","no","mono","no","18","no","white","no","Professional and Technical Occupations","yes","768","/Users/andrasjoos/Documents/AI Masters/Period 1/Cognitive Psychology/Research project/results/subject-10.csv","fake","Melodramatic Milgram","4.0.5","bottom_left","left","right","NA","space","right","NA","left","5860.396125004627","4598.713999992469","NA","73200.0228749821","1644.2924170114566","NA","5860.396125004627","NA","NA","2","fake_1_50","1024","2","48000","-16","experiment","10","even","17345.623959001387","NA","6321.501124999486","30216.441541997483","NA","14605.325249984162","4499.627166980645","169334.34470900102","NA","NA","169838.50349998102","51361.32479200023","4529.5895419840235","NA","NA","NA","NA","NA","NA","NA","NA","NA","23128.456541977357","NA","169838.62450000015","124564.1312499938","169326.47166698007","NA","51347.15191699797","NA","23127.909167000325","175700.60841698432","NA","17344.871459004935","NA","NA","New experiment","4","48053.678706957726","5","1024"
